Station,Example Station
Latitude,-35.31
Longitude,148.06
1934-06-01,69.7
1934-07-01,83.2
1934-08-01,132
1934-09-01,31.2
1934-10-01,180.5
1934-11-01,147
1934-12-01,38.3
1935-01-01,51.3
1935-02-01,71.9
1935-03-01,33.3
1935-04-01,145
1935-05-01,9.1
1935-06-01,27.3
1935-07-01,97.6
1935-08-01,84.6
1935-09-01,75.1
1935-10-01,113.9
1935-11-01,20.2
1935-12-01,23.1
1936-01-01,56.9
1936-02-01,89.9
1936-03-01,41.7
1936-04-01,65
1936-05-01,25.9
1936-06-01,137
1936-07-01,157.1
1936-08-01,81.5
1936-09-01,23.3
1936-10-01,49.5
1936-11-01,24.4
1936-12-01,107.4
1937-01-01,116.2
1937-02-01,0.5
1937-03-01,125.9
1937-04-01,19.5
1937-05-01,33
1937-06-01,34.2
1937-07-01,26.4
1937-08-01,87.1
1937-09-01,113.3
1937-10-01,73.6
1937-11-01,26.3
1937-12-01,49.3
1938-01-01,33.5
1938-02-01,46
1938-03-01,16.7
1938-04-01,66.5
1938-05-01,13.4
1938-06-01,88.5
1938-07-01,57.7
1938-08-01,111.6
1938-09-01,14
1938-10-01,71.1
1938-11-01,32.2
1938-12-01,0
1939-01-01,8.1
1939-02-01,99.5
1939-03-01,181.9
1939-04-01,113.1
1939-05-01,20.4
1939-06-01,147.8
1939-07-01,50.8
1939-08-01,227.6
1939-09-01,62
1939-10-01,93.3
1939-11-01,101.1
1939-12-01,14.7
1940-01-01,37.3
1940-02-01,6.6
1940-03-01,1.3
1940-04-01,168
1940-05-01,31.7
1940-06-01,43.6
1940-07-01,28.2
1940-08-01,41.4
1940-09-01,90.2
1940-10-01,0
1940-11-01,26.9
1940-12-01,91.2
1941-01-01,236.5
1941-02-01,34.5
1941-03-01,34.7
1941-04-01,4.6
1941-05-01,41.6
1941-06-01,64.5
1941-07-01,60.8
1941-08-01,34.5
1941-09-01,70
1941-10-01,40.6
1941-11-01,43.9
1941-12-01,33.8
1942-01-01,9.3
1942-02-01,96.6
1942-03-01,15
1942-04-01,11.9
1942-05-01,226.3
1942-06-01,123.7
1942-07-01,64
1942-08-01,103
1942-09-01,68.8
1942-10-01,117.2
1942-11-01,72.2
1942-12-01,23.4
1943-01-01,142.1
1943-02-01,8.6
1943-03-01,17.5
1943-04-01,104.9
1943-05-01,19.8
1943-06-01,43.9
1943-07-01,84
1943-08-01,111.1
1943-09-01,73.8
1943-10-01,71.2
1943-11-01,103.9
1943-12-01,8.4
1944-01-01,21.3
1944-02-01,5.1
1944-03-01,34.8
1944-04-01,29.1
1944-05-01,109.3
1944-06-01,20.6
1944-07-01,30.6
1944-08-01,7.4
1944-09-01,19.9
1944-10-01,80.1
1944-11-01,8.5
1944-12-01,23.2
1945-01-01,53.9
1945-02-01,63.1
1945-03-01,16
1945-04-01,36.1
1945-05-01,30.7
1945-06-01,136
1945-07-01,44.9
1945-08-01,132.3
1945-09-01,22.7
1945-10-01,92.7
1945-11-01,48.4
1945-12-01,15.5
1946-01-01,81
1946-02-01,111.4
1946-03-01,64.6
1946-04-01,41
1946-05-01,37.5
1946-06-01,51.4
1946-07-01,129.6
1946-08-01,66.6
1946-09-01,13
1946-10-01,28.7
1946-11-01,130
1946-12-01,72.8
1947-01-01,1.3
1947-02-01,61.7
1947-03-01,81.1
1947-04-01,45.1
1947-05-01,29.2
1947-06-01,50
1947-07-01,118.3
1947-08-01,80.4
1947-09-01,95.8
1947-10-01,45.8
1947-11-01,77.8
1947-12-01,167.7
1948-01-01,38
1948-02-01,85.8
1948-03-01,8.9
1948-04-01,66.2
1948-05-01,92.3
1948-06-01,46.8
1948-07-01,27.6
1948-08-01,35.9
1948-09-01,37.2
1948-10-01,90
1948-11-01,56.7
1948-12-01,43
1949-01-01,15
1949-02-01,56.9
1949-03-01,89.9
1949-04-01,29.2
1949-05-01,98.5
1949-06-01,41.9
1949-07-01,34.5
1949-08-01,20.1
1949-09-01,102.2
1949-10-01,217.5
1949-11-01,135.4
1949-12-01,32.8
1950-01-01,95.7
1950-02-01,100.7
1950-03-01,233.5
1950-04-01,51.2
1950-05-01,44.3
1950-06-01,46.5
1950-07-01,104.8
1950-08-01,51.7
1950-09-01,71.1
1950-10-01,168.1
1950-11-01,95.8
1950-12-01,18.1
1951-01-01,73.4
1951-02-01,35.2
1951-03-01,5.8
1951-04-01,79.9
1951-05-01,119.7
1951-06-01,85.3
1951-07-01,113.1
1951-08-01,104
1951-09-01,80.6
1951-10-01,90.1
1951-11-01,56
1951-12-01,17.5
1952-01-01,17.8
1952-02-01,3.8
1952-03-01,58.3
1952-04-01,120.6
1952-05-01,158.8
1952-06-01,125
1952-07-01,65.3
1952-08-01,71.8
1952-09-01,86.6
1952-10-01,121.2
1952-11-01,79.1
1952-12-01,99.8
1953-01-01,49.3
1953-02-01,22.4
1953-03-01,15.8
1953-04-01,48.2
1953-05-01,75.4
1953-06-01,75.8
1953-07-01,72.9
1953-08-01,89.9
1953-09-01,108.6
1953-10-01,89.4
1953-11-01,94.5
1953-12-01,23.2
1954-01-01,126.1
1954-02-01,11.6
1954-03-01,1.8
1954-04-01,58.9
1954-05-01,15.6
1954-06-01,52.7
1954-07-01,22.1
1954-08-01,71.6
1954-09-01,43.4
1954-10-01,57.6
1954-11-01,121.8
1954-12-01,58.2
1955-01-01,44.2
1955-02-01,99.1
1955-03-01,49.9
1955-04-01,17.2
1955-05-01,85.4
1955-06-01,133.7
1955-07-01,83.6
1955-08-01,152.5
1955-09-01,69.8
1955-10-01,174.7
1955-11-01,29
1955-12-01,50.3
1956-01-01,100.1
1956-02-01,14.2
1956-03-01,245.3
1956-04-01,177.7
1956-05-01,162.6
1956-06-01,171.6
1956-07-01,130.7
1956-08-01,56.4
1956-09-01,84.1
1956-10-01,104.6
1956-11-01,32.5
1956-12-01,26.9
1957-01-01,0
1957-02-01,45
1957-03-01,40.9
1957-04-01,30.2
1957-05-01,12.5
1957-06-01,41.1
1957-07-01,80
1957-08-01,46.6
1957-09-01,28.4
1957-10-01,26.2
1957-11-01,54.8
1957-12-01,75.9
1958-01-01,46.3
1958-02-01,13.4
1958-03-01,68.6
1958-04-01,10.7
1958-05-01,74.3
1958-06-01,30.5
1958-07-01,153.3
1958-08-01,114.6
1958-09-01,93.5
1958-10-01,133
1958-11-01,44.1
1958-12-01,50.8
1959-01-01,14
1959-02-01,112.3
1959-03-01,57.6
1959-04-01,114
1959-05-01,16
1959-06-01,53.6
1959-07-01,48.1
1959-08-01,35.6
1959-09-01,70.4
1959-10-01,98.2
1959-11-01,64.8
1959-12-01,0
1960-01-01,47.5
1960-02-01,16.5
1960-03-01,36.5
1960-04-01,41.8
1960-05-01,197.7
1960-06-01,25.1
1960-07-01,189.3
1960-08-01,80
1960-09-01,158
1960-10-01,36.9
1960-11-01,77.2
1960-12-01,63
1961-01-01,38.8
1961-02-01,10.9
1961-03-01,72.4
1961-04-01,150.4
1961-05-01,5.9
1961-06-01,71.4
1961-07-01,69.5
1961-08-01,78.4
1961-09-01,39.4
1961-10-01,25.7
1961-11-01,85.7
1961-12-01,100
1962-01-01,120.5
1962-02-01,18.9
1962-03-01,25.9
1962-04-01,39.9
1962-05-01,96.7
1962-06-01,50.3
1962-07-01,58
1962-08-01,82.8
1962-09-01,57.6
1962-10-01,49.2
1962-11-01,28.4
1962-12-01,84.4
1963-01-01,55.7
1963-02-01,56.1
1963-03-01,33
1963-04-01,12.5
1963-05-01,76.8
1963-06-01,73.6
1963-07-01,104.5
1963-08-01,77.8
1963-09-01,60.5
1963-10-01,81.3
1963-11-01,58.2
1963-12-01,66.4
1964-01-01,31
1964-02-01,8.6
1964-03-01,45
1964-04-01,89.6
1964-05-01,52.8
1964-06-01,80.6
1964-07-01,148.4
1964-08-01,49.4
1964-09-01,135.4
1964-10-01,117.1
1964-11-01,15
1964-12-01,59.9
1965-01-01,0
1965-02-01,2.3
1965-03-01,1.5
1965-04-01,21.6
1965-05-01,50.6
1965-06-01,24.6
1965-07-01,43
1965-08-01,108.4
1965-09-01,57.2
1965-10-01,86.6
1965-11-01,73.7
1965-12-01,53.6
1966-01-01,32.3
1966-02-01,42.7
1966-03-01,127.7
1966-04-01,13.7
1966-05-01,74.2
1966-06-01,49.1
1966-07-01,104.1
1966-08-01,96.1
1966-09-01,97.9
1966-10-01,63.3
1966-11-01,135.5
1966-12-01,164
1967-01-01,24
1967-02-01,4.1
1967-03-01,10.9
1967-04-01,0.8
1967-05-01,14.7
1967-06-01,19.5
1967-07-01,22.8
1967-08-01,91
1967-09-01,35
1967-10-01,31.4
1967-11-01,16
1967-12-01,3.3
1968-01-01,69
1968-02-01,0
1968-03-01,72.3
1968-04-01,72.3
1968-05-01,255.5
1968-06-01,44
1968-07-01,66.1
1968-08-01,123.4
1968-09-01,11.9
1968-10-01,112.1
1968-11-01,81.5
1968-12-01,90.8
1969-01-01,16.8
1969-02-01,75
1969-03-01,134.2
1969-04-01,158.2
1969-05-01,95.5
1969-06-01,107.1
1969-07-01,91.4
