,dates,Lake_City,Camden,Hillsboro,Phoenix_Area,Marshall,Subiaco,Hobart_Municipal_AP,Tucumcari_4_NE_,Death_Valley_National_Park,Hopewell,Neosho,Las_Animas,Blanding,Yosemite_National_Park_Area,Saluda,Clarksdale,Portales,Springerville,Ojai
154,1931-09-01,0.77,1.45,0.62,0.23,1.4,0.89,1.51,1.16,0.0,2.73,1.42,0.9,1.98,0.49,0.68,0.0005,0.89,3.55,0.0005
155,1931-10-01,0.39,0.74,1.69,0.22,0.66,2.3,3.39,1.31,0.0005,1.65,4.43,0.27,2.74,0.47,0.33,1.58,0.46,0.53,0.05
156,1931-11-01,,8.4,1.85,3.18,0.0005,4.97,3.92,0.44,0.02,0.32,5.8,1.01,2.17,4.47,0.21,6.2,1.31,1.43,
157,1931-12-01,2.04,11.83,3.86,0.75,,4.47,1.57,0.24,0.03,2.41,0.56,0.0,2.9,14.9,8.32,15.61,0.98,0.15,9.6
158,1932-01-01,1.18,11.43,6.74,0.1,3.71,7.44,2.31,0.68,0.0005,5.28,4.58,0.57,0.77,5.9,5.53,11.53,0.38,1.37,2.93
159,1932-02-01,1.22,5.26,5.07,2.12,3.9,4.8,1.26,0.5,0.05,1.95,1.22,0.0005,2.27,9.06,,8.51,0.41,0.35,7.16
160,1932-03-01,6.16,4.87,2.68,0.05,3.88,4.32,0.24,0.27,0.0,5.33,2.25,1.18,0.0005,1.11,4.29,4.65,0.4,0.25,0.08
161,1932-04-01,0.58,1.68,3.8,0.05,2.84,1.47,3.0,1.32,0.0,2.11,1.98,2.07,1.0,,,3.03,1.73,0.27,0.57
162,1932-05-01,4.15,0.92,5.87,0.0,2.3,2.66,3.19,2.2,0.0005,3.82,3.34,0.0,0.37,,,2.43,2.16,0.0005,0.38
163,1932-06-01,9.52,5.74,2.0,0.23,1.86,4.77,7.91,3.27,0.02,1.76,6.02,2.93,0.67,0.24,,5.35,6.41,0.05,0.08
